;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
73;@radenrauf Terimakasih Oktober,,,,;0;user terimakasih oktober;['user', 'terimakasih', 'oktober'];['user', 'terimakasih', 'oktober'];user terimakasih oktober;user terimakasih oktober
74;@radenrauf aseli berasa bgt;0;user aseli berasa bgt;['user', 'aseli', 'berasa', 'bgt'];['user', 'aseli', 'berasa', 'banget'];user aseli berasa banget;user aseli asa banget
75;ga asik. bye https://t.co/9SWpjDa1Gv;0;ga asik bye co9swpjda1gv;['ga', 'asik', 'bye', 'co9swpjda1gv'];['tidak', 'asyik', 'bye', 'co9swpjda1gv'];tidak asyik bye co9swpjda1gv;asyik bye co9swpjda1gv
76;@radenrauf iya warnaa;0;user iya warnaa;['user', 'iya', 'warnaa'];['user', 'iya', 'warnaa'];user iya warnaa;user iya warnaa
77;Kok yang aku putih aja https://t.co/OH17thfbWf;0;kok yang aku putih aja cooh17thfbwf;['kok', 'yang', 'aku', 'putih', 'aja', 'cooh17thfbwf'];['kok', 'yang', 'aku', 'putih', 'saja', 'cooh17thfbwf'];kok yang aku putih saja cooh17thfbwf;kok aku putih cooh17thfbwf
78;@radenrauf bersyukur ajaa bisa ngelewatin oktober, walaupun kalo abis main bareng senengnya minta ampun eh sampe rumah diem dieman lagi;1;user bersyukur ajaa bisa ngelewatin oktober walaupun kalo abis main bareng senengnya minta ampun eh sampe rumah diem dieman lagi;['user', 'bersyukur', 'ajaa', 'bisa', 'ngelewatin', 'oktober', 'walaupun', 'kalo', 'abis', 'main', 'bareng', 'senengnya', 'minta', 'ampun', 'eh', 'sampe', 'rumah', 'diem', 'dieman', 'lagi'];['user', 'bersyukur', 'ajaa', 'bisa', 'ngelewatin', 'oktober', 'walaupun', 'kalau', 'setelah', 'main', 'bareng', 'senengnya', 'minta', 'ampun', 'eh', 'sampai', 'rumah', 'diam', 'disayangkan', 'lagi'];user bersyukur ajaa bisa ngelewatin oktober walaupun kalau setelah main bareng senengnya minta ampun eh sampai rumah diam disayangkan lagi;user syukur ajaa ngelewatin oktober walaupun kalau main bareng neng minta ampun eh rumah diam sayang
79;@radenrauf Parkiran;0;user parkiran;['user', 'parkiran'];['user', 'parkiran'];user parkiran;user parkir
80;@radenrauf Betul ..kopi pagi ..biar semangat ..slm sehat slalu ...;0;user betul kopi pagi biar semangat slm sehat slalu;['user', 'betul', 'kopi', 'pagi', 'biar', 'semangat', 'slm', 'sehat', 'slalu'];['user', 'betul', 'kopi', 'pagi', 'biar', 'semangat', 'slm', 'sehat', 'selalu'];user betul kopi pagi biar semangat slm sehat selalu;user betul kopi pagi biar semangat slm sehat selalu
81;@radenrauf pikiran;0;user pikiran;['user', 'pikiran'];['user', 'pikiran'];user pikiran;user pikir
82;@radenrauf berasa trouble nya😂;-1;user berasa trouble nya;['user', 'berasa', 'trouble', 'nya'];['user', 'berasa', 'trouble', 'nya'];user berasa trouble nya;user asa trouble nya
83;@radenrauf Yes, hari nggak gw suka;0;user yes hari nggak gw suka;['user', 'yes', 'hari', 'nggak', 'gw', 'suka'];['user', 'yes', 'hari', 'nggak', 'saya', 'suka'];user yes hari nggak saya suka;user yes hari saya suka
84;@radenrauf Permisi kak met pagiii~ barangkali ada yang membutuhkan, bisa ya tarot reading di akuu~ bisa dicek detai… https://t.co/MG0nSBza3Z;0;user permisi kak met pagiii barangkali ada yang membutuhkan bisa ya tarot reading di akuu bisa dicek detai comg0nsbza3z;['user', 'permisi', 'kak', 'met', 'pagiii', 'barangkali', 'ada', 'yang', 'membutuhkan', 'bisa', 'ya', 'tarot', 'reading', 'di', 'akuu', 'bisa', 'dicek', 'detai', 'comg0nsbza3z'];['user', 'permisi', 'kak', 'met', 'pagiii', 'barangkali', 'ada', 'yang', 'membutuhkan', 'bisa', 'iya', 'tarot', 'reading', 'di', 'akuu', 'bisa', 'dicek', 'detai', 'comg0nsbza3z'];user permisi kak met pagiii barangkali ada yang membutuhkan bisa iya tarot reading di akuu bisa dicek detai comg0nsbza3z;user permisi kak met pagiii barangkali yang butuh iya tarot reading akuu cek detai comg0nsbza3z
85;@radenrauf Setujuuuu;0;user setujuuuu;['user', 'setujuuuu'];['user', 'setujuuuu'];user setujuuuu;user setujuuuu
86;@radenrauf makasih oktober yang flat flat aja;-1;user makasih oktober yang flat flat aja;['user', 'makasih', 'oktober', 'yang', 'flat', 'flat', 'aja'];['user', 'makasih', 'oktober', 'yang', 'flat', 'flat', 'saja'];user makasih oktober yang flat flat saja;user makasih oktober flat flat
87;@radenrauf SIAP GAS #DGcon2022;0;user siap gas hashtag gcon 2022 hashtag;['user', 'siap', 'gas', 'hashtag', 'gcon', '2022', 'hashtag'];['user', 'siap', 'gas', 'hashtag', 'gcon', '2022', 'hashtag'];user siap gas hashtag gcon 2022 hashtag;user siap gas hashtag gcon 2022 hashtag
88;Berasa stressnya https://t.co/jdWwuk84XC;0;berasa stressnya cojdwwuk84xc;['berasa', 'stressnya', 'cojdwwuk84xc'];['berasa', 'stressnya', 'cojdwwuk84xc'];berasa stressnya cojdwwuk84xc;asa stressnya cojdwwuk84xc
89;@itpeso @radenrauf selamat ulang tahun Kak, selamat berbahagia sehat dan semoga sukses lancar Dunia Akhirat! Bulan… https://t.co/vJdWuZniyx;0;user user selamat ulang tahun kak selamat berbahagia sehat dan semoga sukses lancar dunia akhirat bulan covjdwuzniyx;['user', 'user', 'selamat', 'ulang', 'tahun', 'kak', 'selamat', 'berbahagia', 'sehat', 'dan', 'semoga', 'sukses', 'lancar', 'dunia', 'akhirat', 'bulan', 'covjdwuzniyx'];['user', 'user', 'selamat', 'ulang', 'tahun', 'kak', 'selamat', 'berbahagia', 'sehat', 'dan', 'semoga', 'sukses', 'lancar', 'dunia', 'akhirat', 'bulan', 'covjdwuzniyx'];user user selamat ulang tahun kak selamat berbahagia sehat dan semoga sukses lancar dunia akhirat bulan covjdwuzniyx;user user selamat ulang tahun kak selamat bahagia sehat moga sukses lancar dunia akhirat bulan covjdwuzniyx
90;@radenrauf Oktober ku indah bgt haha;1;user oktober ku indah bgt haha;['user', 'oktober', 'ku', 'indah', 'bgt', 'haha'];['user', 'oktober', 'ku', 'indah', 'banget', 'haha'];user oktober ku indah banget haha;user oktober ku indah banget haha
91;@radenrauf Drama di Bln Oktober makasih https://t.co/CIB0GCQHH2;0;user drama di bln oktober makasih cocib0gcqhh2;['user', 'drama', 'di', 'bln', 'oktober', 'makasih', 'cocib0gcqhh2'];['user', 'drama', 'di', 'bulan', 'oktober', 'makasih', 'cocib0gcqhh2'];user drama di bulan oktober makasih cocib0gcqhh2;user drama bulan oktober makasih cocib0gcqhh2
92;@radenrauf parkiran sih kayanya;0;user parkiran sih kayanya;['user', 'parkiran', 'sih', 'kayanya'];['user', 'parkiran', 'sih', 'kayanya'];user parkiran sih kayanya;user parkir sih kaya
93;@radenrauf Kak, apa bener ya cowok kalo pas pacaran dan dia ga posesif itu artinya gak serius ?;0;user kak apa bener ya cowok kalo pas pacaran dan dia ga posesif itu artinya gak serius;['user', 'kak', 'apa', 'bener', 'ya', 'cowok', 'kalo', 'pas', 'pacaran', 'dan', 'dia', 'ga', 'posesif', 'itu', 'artinya', 'gak', 'serius'];['user', 'kak', 'apa', 'benar', 'iya', 'cowok', 'kalau', 'cocok', 'pacaran', 'dan', 'dia', 'tidak', 'posesif', 'itu', 'artinya', 'tidak', 'serius'];user kak apa benar iya cowok kalau cocok pacaran dan dia tidak posesif itu artinya tidak serius;user kak apa benar iya cowok kalau cocok pacar dia posesif arti serius
94;@radenrauf di injek;0;user di injek;['user', 'di', 'injek'];['user', 'di', 'injek'];user di injek;user injek
95;@radenrauf Tunggu ya bntr lagi nyusul https://t.co/CIB0GCRfwA;0;user tunggu ya bntr lagi nyusul cocib0gcrfwa;['user', 'tunggu', 'ya', 'bntr', 'lagi', 'nyusul', 'cocib0gcrfwa'];['user', 'tunggu', 'iya', 'bntr', 'lagi', 'nyusul', 'cocib0gcrfwa'];user tunggu iya bntr lagi nyusul cocib0gcrfwa;user tunggu iya bntr nyusul cocib0gcrfwa
96;@itpeso @radenrauf selamat bertambah usia kaka cantik, i feel you🥺🫶🏻;0;user user selamat bertambah usia kaka cantik feel you;['user', 'user', 'selamat', 'bertambah', 'usia', 'kaka', 'cantik', 'feel', 'you'];['user', 'user', 'selamat', 'bertambah', 'usia', 'kaka', 'cantik', 'feel', 'you'];user user selamat bertambah usia kaka cantik feel you;user user selamat tambah usia kaka cantik feel you
97;@radenrauf parkiran;0;user parkiran;['user', 'parkiran'];['user', 'parkiran'];user parkiran;user parkir
98;@radenrauf Insya Allah ...salam sehat slalu ...;0;user insya allah salam sehat slalu;['user', 'insya', 'allah', 'salam', 'sehat', 'slalu'];['user', 'insya', 'allah', 'salam', 'sehat', 'selalu'];user insya allah salam sehat selalu;user insya allah salam sehat selalu
99;@radenrauf Iya bg berasa banget, bahkan aku ultah aja gaada yg ngucapin sama sekali. Pdhl effort gua ke temen2 aja… https://t.co/LBDFv7ZyZ3;0;user iya bg berasa banget bahkan aku ultah aja gaada yg ngucapin sama sekali pdhl effort gua ke temen2 aja colbdfv7zyz3;['user', 'iya', 'bg', 'berasa', 'banget', 'bahkan', 'aku', 'ultah', 'aja', 'gaada', 'yg', 'ngucapin', 'sama', 'sekali', 'pdhl', 'effort', 'gua', 'ke', 'temen2', 'aja', 'colbdfv7zyz3'];['user', 'iya', 'bg', 'berasa', 'banget', 'bahkan', 'aku', 'ultah', 'saja', 'gaada', 'yang', 'ngucapin', 'sama', 'sekali', 'padahal', 'effort', 'saya', 'ke', 'temen2', 'saja', 'colbdfv7zyz3'];user iya bg berasa banget bahkan aku ultah saja gaada yang ngucapin sama sekali padahal effort saya ke temen2 saja colbdfv7zyz3;user iya bg asa banget bahkan aku ultah gaada ngucapin sama sekali padahal effort ke temen2 colbdfv7zyz3
